ensembl_gene_id,regulator_class,ec_codes,go_terms,chen_nonprotein,in_structural_catalog,supplementary_support,go_experimental_protein,catalytic_status
ENSG00000123374,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0035173|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000156345,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,FALSE,active
ENSG00000250506,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000135446,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000164885,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000176749,kinase,,GO:0004672|GO:0016301|GO:0016773,FALSE,FALSE,TRUE,TRUE,active
ENSG00000105810,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000132964,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000136807,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0035173|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000100490,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000138769,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000006837,kinase,2.7.11.22,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000205111,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,FALSE,active
ENSG00000008086,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
